ResponseId,zipcode
R_1CeBs9N3ou7XutY,98201
R_21dpOKZfifEEtPy,17050
R_2uxPPF46JsWTOq4,32825
R_2ygyIvtnEj4283d,63353
R_qEr5mJqwwSjaXPr,33991
R_2wMOdYEWUSSSCyF,84096
R_25Bdp6cFnavcBxd,93704
R_wOb7ZYzQSJXp2jn,48910
R_1hDMszWWZiizK3k,19139
R_3kp707xsLQS8S7I,61032
R_2fGM3XUBrVWahDG,60628
R_BPNngc5ArUnWF69,19136
R_2ZEL5fZuihSPrZU,11367
R_2atz1T6HDslzNtH,57738
R_22Ea861U8Zy28Fk,32744
R_3h6IHSu3Dqg69Bb,11786
R_1nPkzDxuYQep3cn,23832
R_2w7tC1DyaiZBIdT,8824
R_1E5MQLVb11pSFBd,41093
R_2CmlcE2dt8mlp30,21225
R_1flnNnyf0tJZjsh,30044
R_O8XCHf7GX1GD5Tj,89119
R_2bPs0MO9Xf0ZT2B,32605
R_1IAx3rtcLRLd2YN,43506
R_UfhmXVXDIHYWP6N,98225
R_1CazfmekR22Xz80,33071
R_XTeFmkaPBLNFI4N,72762
R_dm4wLgMHd4trsEF,44281
R_3L6fHjgSJVKFFU1,39466
R_2f2S2kiDu3135Nc,27104
R_3nOhTNpbpU9Bob5,90059
R_2sR7XBYuo20jbHL,I am not sure.
R_1otHIrtOJ0b41eg,28327
R_3O64ShkxlrMS2ir,96793
R_2amhB8J0oGwn3iy,47987
R_2scDXpVZTQeqM0a,40324
R_1Gy6JSu1dGzifAr,93306
R_3CIpRnpoxM9YVT9,48235
R_3NKwLgjYGx96kDB,91732
R_2XjKICVtxg95w7z,48212
R_2Yb4fFfE4LpXkGd,40330
R_1kHVmEKR6X6zBtF,19111
R_2ZCa65U97TjpXq6,6450
R_3246xorGgYVDTPt,94588
R_1JXR4TKClU5C6Tr,14160
R_1H5JbpHHK1ZYIMj,94103
R_Umrx8o06QaBkgbD,10024
R_1gGtUUxg2ClS4ts,80516
R_3lKr0pq8hl8bvBT,34974
R_ezhMKcW1sCOyMkp,62960
R_1j8qWjNXtMqW2y8,80111
R_2CPmZpskuglhZNp,99588
R_1jIK9kWyxZ4GBTc,41102
R_2OJfwU7mglqiAtx,60615
R_2tb9bXc0jr06jll,85012
R_1Hdd85CrmAVh9je,19701
R_22PofHldK3g5puU,21117
R_3IQ5FgnQgSKcFFD,88317
R_2TueIEsmPuLgn1J,31416
R_3qPxsXn7eJ9rfJP,10994
R_PNXZmdVGFuNJwwp,2138
